X1,Y1,X2,Y2,Type,Value,Group
300,660,407,669,Label,FeedbackForm,0
83,454,368,465,Label,Wereyousatisfiedwiththecustomerservice?,0
110,411,163,431,Label,]Yes~,0
185,411,238,431,Label,]no[,0
83,375,149,385,Label,Comments,0
280,415,345,425,Label,Somewhat,0
633,71,637,359,Label,~,0
461,74,632,94,Field,nan,0
461,101,630,121,Field,nan,0
138,130,515,150,Field,nan,0
140,161,515,181,Field,nan,0
137,179,304,199,Field,nan,0
442,179,598,199,Field,nan,0
365,206,599,226,Field,nan,0
138,208,304,228,Field,nan,0
83,350,636,370,Field,nan,0
87,636,636,656,Field,nan,0
