X1,Y1,H,W,Type,Value,Group
428,1018,12,152,label,FeedbackForm,0
583,952,13,39,label,Date,0
109,758,20,65,label,Phone,0
471,766,15,45,label,Emall,0
120,654,3,362,label,Decribewhatwsbestaccordingtoyu.,0
119,417,3,298,label,Desribewhatcouldbeimprovd.,0
114,172,13,284,label,Rateovrallqualityoftheevnt.,0
118,77,21,62,label,Worst,0
225,85,15,31,label,Bad,0
294,81,14,258,label,AveageGodAweome,0
104,221,73,747,field,nan,0
104,322,80,327,field,nan,0
455,323,77,395,field,nan,0
104,435,221,746,field,nan,0
103,672,220,746,field,nan,0
501,973,16,16,radio,nan,0
404,973,16,16,radio,nan,0
322,973,16,16,radio,nan,0
232,973,16,16,radio,nan,0
145,973,16,16,radio,nan,0
