X1,Y1,H,W,Type,Value,Group
206,693,13,140,label,Venoftheevent,0
205,643,16,143,label,Tiinoftheevent,0
180,597,15,193,label,ManageenandServices,0
210,550,16,133,label,Qulitofcontent,0
212,504,24,128,label,Useulnetoyou,0
104,450,32,339,label,Homuchyouwuldrecmmetoothers,0
96,379,32,140,label,MoeSuggetions,0
531,143,19,36,field,nan,0
571,143,19,36,field,nan,0
611,143,19,36,field,nan,0
651,143,19,37,field,nan,0
692,143,19,36,field,nan,0
732,143,19,36,field,nan,0
772,143,19,37,field,nan,0
812,143,19,37,field,nan,0
163,188,26,690,field,nan,0
168,191,19,37,field,nan,0
208,191,19,37,field,nan,0
248,191,19,37,field,nan,0
289,191,19,36,field,nan,0
329,191,19,37,field,nan,0
369,191,19,37,field,nan,0
410,191,19,36,field,nan,0
450,191,19,36,field,nan,0
490,191,19,37,field,nan,0
530,191,19,37,field,nan,0
571,191,19,36,field,nan,0
611,191,19,36,field,nan,0
651,191,19,37,field,nan,0
692,191,19,36,field,nan,0
732,191,19,36,field,nan,0
772,191,19,37,field,nan,0
812,191,19,37,field,nan,0
163,236,25,409,field,nan,0
168,239,20,37,field,nan,0
208,239,20,37,field,nan,0
248,239,20,37,field,nan,0
289,239,20,36,field,nan,0
329,239,20,37,field,nan,0
369,239,20,37,field,nan,0
410,239,20,36,field,nan,0
450,239,20,36,field,nan,0
490,239,20,37,field,nan,0
530,239,20,36,field,nan,0
163,284,26,570,field,nan,0
168,287,19,37,field,nan,0
208,287,19,37,field,nan,0
248,287,19,37,field,nan,0
289,287,19,36,field,nan,0
329,287,19,37,field,nan,0
369,287,19,37,field,nan,0
410,287,19,36,field,nan,0
450,287,19,36,field,nan,0
490,287,19,37,field,nan,0
530,287,19,37,field,nan,0
571,287,19,36,field,nan,0
611,287,19,36,field,nan,0
651,287,19,37,field,nan,0
692,287,19,35,field,nan,0
99,332,330,754,field,nan,0
104,335,19,342,field,nan,0
450,335,19,77,field,nan,0
530,335,19,77,field,nan,0
611,335,19,77,field,nan,0
692,335,19,76,field,nan,0
772,335,19,77,field,nan,0
104,358,299,342,field,nan,0
450,358,299,77,field,nan,0
530,358,299,77,field,nan,0
611,358,299,77,field,nan,0
692,358,299,76,field,nan,0
772,358,299,77,field,nan,0
99,729,260,754,field,nan,0
531,143,19,36,checkbox,nan,0
571,143,19,36,checkbox,nan,0
611,143,19,36,checkbox,nan,0
651,143,19,37,checkbox,nan,0
692,143,19,36,checkbox,nan,0
732,143,19,36,checkbox,nan,0
772,143,19,37,checkbox,nan,0
812,143,19,37,checkbox,nan,0
168,191,19,37,checkbox,nan,0
208,191,19,37,checkbox,nan,0
248,191,19,37,checkbox,nan,0
289,191,19,36,checkbox,nan,0
329,191,19,37,checkbox,nan,0
369,191,19,37,checkbox,nan,0
410,191,19,36,checkbox,nan,0
450,191,19,36,checkbox,nan,0
490,191,19,37,checkbox,nan,0
530,191,19,37,checkbox,nan,0
571,191,19,36,checkbox,nan,0
611,191,19,36,checkbox,nan,0
651,191,19,37,checkbox,nan,0
692,191,19,36,checkbox,nan,0
732,191,19,36,checkbox,nan,0
772,191,19,37,checkbox,nan,0
812,191,19,37,checkbox,nan,0
168,239,20,37,checkbox,nan,0
208,239,20,37,checkbox,nan,0
248,239,20,37,checkbox,nan,0
289,239,20,36,checkbox,nan,0
329,239,20,37,checkbox,nan,0
369,239,20,37,checkbox,nan,0
410,239,20,36,checkbox,nan,0
450,239,20,36,checkbox,nan,0
490,239,20,37,checkbox,nan,0
530,239,20,36,checkbox,nan,0
168,287,19,37,checkbox,nan,0
208,287,19,37,checkbox,nan,0
248,287,19,37,checkbox,nan,0
289,287,19,36,checkbox,nan,0
329,287,19,37,checkbox,nan,0
369,287,19,37,checkbox,nan,0
410,287,19,36,checkbox,nan,0
450,287,19,36,checkbox,nan,0
490,287,19,37,checkbox,nan,0
530,287,19,37,checkbox,nan,0
571,287,19,36,checkbox,nan,0
611,287,19,36,checkbox,nan,0
651,287,19,37,checkbox,nan,0
692,287,19,35,checkbox,nan,0
450,335,19,77,checkbox,nan,0
530,335,19,77,checkbox,nan,0
611,335,19,77,checkbox,nan,0
692,335,19,76,checkbox,nan,0
772,335,19,77,checkbox,nan,0
450,358,299,77,checkbox,nan,0
530,358,299,77,checkbox,nan,0
611,358,299,77,checkbox,nan,0
692,358,299,76,checkbox,nan,0
772,358,299,77,checkbox,nan,0
