X1,Y1,H,W,Type,Value,Group
337,1108,18,323,label,PtientFeedbackForm,0
88,1033,3,455,label,"Aaquestonsmaredwthanmsteisk(*)arerequred,",0
90,989,18,118,label,YourNae:*,0
90,212,25,319,label,YourCopngwahCanerDiagnsis:*,0
87,160,22,84,label,(DPor,0
87,115,21,78,label,(DOFar,0
0,-29,30,999,field,nan,0
85,335,39,775,field,nan,0
514,428,41,429,field,nan,0
90,432,33,419,field,nan,0
85,701,41,775,field,nan,0
85,793,41,775,field,nan,0
85,888,41,775,field,nan,0
90,1035,16,20,field,nan,0
0,1184,30,999,field,nan,0
129,669,17,17,radio,nan,0
606,89,20,20,radio,nan,0
514,428,41,429,checkbox,nan,0
90,1035,16,20,checkbox,nan,0
