412,82,35,176,label,FeedbackForm,0
580,153,35,54,label,Date,0
79,237,35,72,label,Name:,0
79,314,35,145,label,Enrollmentno,0
506,312,35,67,label,Email:,0
77,381,35,293,label,Whatdidyoulikeverymuch?,0
152,434,35,132,label,Environment,0
440,434,35,151,label,Administration,0
711,431,35,223,label,Attitudeofemployees,0
152,488,35,141,label,Infrastructure,0
437,487,35,219,label,TalentandInnovation,0
74,575,35,342,label,Ratesupportivenessofemployees.,0
70,640,35,444,label,Ratetheimpatofprojectscompanyisdoing.,0
70,713,35,381,label,Ratetheoverallexperienceofthevisit.,0
70,788,35,341,label,Ratequalityofprovidedresources.,0
70,853,35,663,label,Howmuchlikelydoyourecommendthecompanyfortheirservices?,0
76,975,35,286,label,Anyconstructivesuggestions,0
755,1260,22,101,label,SignHere,0
