423,1197,12,153,label,FeedbackForm,0
577,1132,14,40,label,Date,0
119,1049,11,55,label,Name:,0
119,984,12,50,label,Phone,0
454,982,15,44,label,Email,0
120,909,13,450,label,Ratethequalityofeventfrommanagementaspect.,0
120,760,11,365,label,Ratecontentbyhowmuchusefulforyou.,0
120,672,17,79,label,Notatall,0
231,672,16,31,label,Bad,0
299,673,11,71,label,Average,0
396,672,16,46,label,Good,0
470,672,12,86,label,Awesome,0
118,607,20,248,label,Thingsthatcanbeimproved,0
178,541,19,67,label,Venue,0
368,547,11,71,label,Speaker,0
177,469,19,71,label,Timing,0
366,480,13,116,label,Management,0
118,415,14,146,label,MoreComments,0
