X1,Y1,X2,Y2,Type,Value,Group
417,1307,583,1320,Label,FeedbackForm,0
83,1008,364,1024,Label,Whatdidyoulikeverymuch?,0
124,947,279,970,Label,|Environment,0
404,944,586,967,Label,|Administration,0
683,947,928,969,Label,|Attitudeofemployees,0
124,893,287,912,Label,|Infrastructure,0
404,893,650,914,Label,|TalentandInnovation,0
71,806,410,826,Label,Ratesupportivenessofemployees.,0
564,814,853,838,Label,10203040,0
63,741,509,761,Label,Ratetheimpactofprojectscompanyisdoing.,0
559,749,693,773,Label,1020,0
798,749,848,773,Label,40,0
63,667,445,691,Label,Ratetheoverallexperienceofthevisit.,0
559,677,693,701,Label,1020,0
75,601,405,612,Label,Ratequalityofprovidedresources.,0
559,601,693,625,Label,1020,0
75,536,728,552,Label,Howmuchlikelydoyourecommendthecompanyfortheirservices?,0
559,474,771,498,Label,102030,0
81,412,357,427,Label,Anyconstructivesuggestions,0
761,131,850,143,Label,SignHere,0
720,28,767,122,Label,[|,0
41,-10,958,40,Field,nan,0
666,95,930,145,Field,nan,0
669,137,927,187,Field,nan,0
162,178,925,228,Field,nan,0
163,227,924,277,Field,nan,0
232,255,495,305,Field,nan,0
583,256,928,306,Field,nan,0
234,297,493,347,Field,nan,0
586,298,925,348,Field,nan,0
81,434,136,484,Field,nan,0
357,1004,933,1054,Field,nan,0
nan,1068.0,428.0,1118.0,Field,nan,0
nan,1121.0,933.0,1171.0,Field,nan,0
nan,1122.0,728.0,1172.0,Field,nan,0
nan,1123.0,421.0,1173.0,Field,nan,0
nan,1125.0,933.0,1175.0,Field,nan,0
nan,1126.0,673.0,1176.0,Field,nan,0
nan,1127.0,367.0,1177.0,Field,nan,0
nan,1176.0,933.0,1226.0,Field,nan,0
nan,1177.0,845.0,1227.0,Field,nan,0
nan,1178.0,538.0,1228.0,Field,nan,0
nan,1179.0,232.0,1229.0,Field,nan,0
nan,1180.0,933.0,1230.0,Field,nan,0
nan,1181.0,789.0,1231.0,Field,nan,0
nan,1182.0,488.0,1232.0,Field,nan,0
nan,1183.0,179.0,1233.0,Field,nan,0
nan,1244.0,920.0,1294.0,Field,nan,0
nan,1248.0,918.0,1298.0,Field,nan,0
nan,1305.0,916.0,1355.0,Field,nan,0
nan,1308.0,921.0,1358.0,Field,nan,0
nan,1319.0,954.0,1369.0,Field,nan,0
nan,1322.0,958.0,1372.0,Field,nan,0
357.0,nan,nan,nan,Field,nan,0
1004.0,nan,nan,nan,Field,nan,0
933.0,nan,nan,nan,Field,nan,0
1054.0,nan,nan,nan,Field,nan,0
